Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Pur Pharma Fund,2500,,,,,,,,,,,,,,2500
National Fibromyalgia & Chronic Pain Assn,,,,,,,,,,,14365,7500,30000,,51865
St. Gov Leg  Aff,,,,,,,,,,,14365,7500,30000,,51865
NATIONAL FIBROMYALGIA ASSOCIATION,,35,55000,,10000,25000,25000,21910,,,,,,,136945
Public Affairs,,35,,,,,,1000,,,,,,,1035
Pur Pharma Fund,,,55000,,,25000,25000,20910,,,,,,,125910
St. Gov Leg  Aff,,,,,10000,,,,,,,,,,10000
NATIONAL GOVERNORS ASSOCIATION CENTERS FOR BEST PRACTICES,,,,,,,,,,,40000,20000,20000,,80000
St. Gov Leg  Aff,,,,,,,,,,,40000,20000,20000,,80000
NATIONAL HEADACHE FOUNDATION,,,,1000,1000,1000,1000,,1000,,,,,,5000
Professional Rels,,,,1000,,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,1000,1000,1000,,1000,,,,,,4000
NATIONAL HEALTH COUNCIL,,,,,,,,,50000,13200,68100,33100,37200,,201600
Analgesic,,,,,,,,,50000,,25000,,,,75000
St. Gov Leg  Aff,,,,,,,,,,13200,43100,33100,37200,,126600
NATIONAL HOSPICE & PALLIATIVE CARE ORGANIZATION,34200,8955,4000,3000,1000,2650,2000,2000,,,,,,,57805
Conventions,4200,6850,4000,,,,,,,,,,,,15050
Fed Gov Affairs,,,,2000,1000,2000,2000,2000,,,,,,,9000
Medical Ed,30000,,,,,,,,,,,,,,30000
Public Affairs,,625,,,,,,,,,,,,,625
Pur Pharma Fund,,1480,,1000,,,,,,,,,,,2480
St. Gov Leg  Aff,,,,,,650,,,,,,,,,650
NATIONAL HOSPICE FOUNDATION,,,,,,,,1500,2500,50000,75000,16000,,,145000
Fed Gov Affairs,,,,,,,,,1000,,,1000,,,2000
Medical Ed,,,,,,,,,,,,15000,,,15000
St. Gov Leg  Aff,,,,,,,,1500,1500,50000,75000,,,,128000
NATIONAL MEDICAL ASSOCIATION,117320,70550,,,,,,20000,10000,,37500,,,,255370
Conventions,11750,30550,,,,,,,,,,,,,42300
Medical Ed,55570,40000,,,,,,20000,10000,,37500,,,,163070
Pur Pharma Fund,50000,,,,,,,,,,,,,,50000
NATIONAL NARCOTIC OFFICERS,,,,,,,,25000,,10000,2500,,,,37500
Corp.Security,,,,,,,,25000,,10000,2500,,,,37500
NATIONAL ORG FOR RARE DISORDERS,5000,,5000,5000,5000,5500,5500,500,1000,7500,2000,5000,,,47000
Pur Pharma Fund,5000,,5000,5000,,,,,,,,,,,15000
St. Gov Leg  Aff,,,,,5000,5500,5500,500,1000,7500,2000,5000,,,32000
NATIONAL OSTEOPOROSIS FOUNDATION,,,,,,,,,,7500,,,,,7500
Medical Ed,,,,,,,,,,7500,,,,,7500
NATIONAL PATIENT ADVOCATE FOUNDATIO,,,,,,65000,65000,65000,65000,75000,25000,90000,95000,,545000
Patient & Professional Relations,,,,,,,,,,,,,30000,,30000
St. Gov Leg  Aff,,,,,,65000,65000,65000,65000,75000,25000,90000,65000,,515000
NATIONAL SHERIFFS ASSOC TRADE SHOW,,1840,250,550,9385.75,6450,,7039.84,8219.5,8619.5,5958.5,,,,48313.09
LELE,,1840,,550,9385.75,6450,,7039.84,8219.5,8619.5,5958.5,,,,48063.09
Pur Pharma Fund,,,250,,,,,,,,,,,,250
NATIONAL SLEEP FOUNDATION,,1000,,,,,,,,10000,2500,10000,,,23500
Clinical Pharm,,1000,,,,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,,,,,,10000,2500,10000,,,22500
NATIONAL STROKE ASSOCIATION,,,,,,,,5500,1500,,,,,,7000
St. Gov Leg  Aff,,,,,,,,5500,1500,,,,,,7000
NATIONAL VULVODYNIA ASSOCIATION,,5000,,,,,,5000,10200,15000,10000,20000,,,65200
Pur Pharma Fund,,5000,,,,,,,,,,,,,5000
St. Gov Leg  Aff,,,,,,,,5000,10200,15000,10000,20000,,,60200
NATL ASSN OF DRUG DIVERSION INVESTIGATORS OF FLORIDA INC,,,,1000,,,,,,,,,,,1000
Corp.Security,,,,1000,,,,,,,,,,,1000
NC CHARLOTTE CHAPTER OF NAPNAP,,750,500,,,,,,,,,,,,1250
Conventions,,750,500,,,,,,,,,,,,1250
NEA HEALTH INFORMATION NETWORK,,,,,,,,,,225000,277570,,,,502570
St. Gov Leg  Aff,,,,,,,,,,225000,277570,,,,502570
NEBRASKA ACADEMY OF FAMILY PHYSICIANS,850,850,950,,,,,2500,5500,2000,,1000,,,13650
Conventions,,850,950,,,,,,1000,,,1000,,,3800
