organization,broad_org,state,type,position,subtype,department,year,amount
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2003,825
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2004,850
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2005,850
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2013,1200
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2014,1200
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,medical ed,2002,2800
m a g n u m inc,m a g n u m inc,none,construction,NA,NA,pur pharma fund,2002,15000
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2002,700
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2003,350
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2004,1550
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2005,200
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2006,2200
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2010,3300
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2012,3300
alabama state board of pharmacy,board of pharmacy,alabama,medical,pharmacist,general,general counsel,2014,2200
alabama chapter american college of physicians,college of physicians,alabama,medical,physician,general,conventions,2003,800
alabama chapter american college of physicians,college of physicians,alabama,medical,physician,general,lecture program,2002,800
alabama medical directors assoc,medical directors association,alabama,medical,medical director,general,conventions,2003,500
alabama medical directors assoc,medical directors association,alabama,medical,medical director,general,conventions,2004,1050
alabama medical directors assoc,medical directors association,alabama,medical,medical director,general,conventions,2006,850
alabama medical directors assoc,medical directors association,alabama,medical,medical director,general,conventions,2010,400
alabama medical directors assoc,medical directors association,alabama,medical,medical director,general,managedcare ff,2002,500
southeast alabama oncology nursing society,oncology nursing society,alabama,medical,nurse,oncology,lecture program,2002,1250
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2003,1150
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2007,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2012,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2014,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,lecture program,2002,3500
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,general,conventions,2003,820
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,general,conventions,2004,800
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,general,conventions,2005,1020
rheumatology assn of n alabama,rheumatology assoc,alabama,medical,general,rheumatology,medical rsch,2004,1000
rheumatology assn of n alabama,rheumatology assoc,alabama,medical,general,rheumatology,medical rsch,2005,550
alabama soc of clinical oncology,soc of clinical oncology,alabama,medical,general,oncology,conventions,2003,750
alabama soc of clinical oncology,soc of clinical oncology,alabama,medical,general,oncology,lecture program,2002,5050
alabama state society of anesthesiologists,society of anesthesiologists,alabama,medical,general,anesthesia,conventions,2003,800
alabama state society of anesthesiologists,society of anesthesiologists,alabama,medical,general,anesthesia,lecture program,2002,800
alabama society of health system pharmacists,society of health system pharmacists,alabama,medical,pharmacist,general,conventions,2004,625
alabama society of health system pharmacists,society of health system pharmacists,alabama,medical,pharmacist,general,lecture program,2002,625
alabama society of phyiscal medicine & rehabilitation,society of physical medicine & rehabilitation,alabama,medical,general,physical/rehab,lecture program,2002,1000
alabama society of phyiscal medicine & rehabilitation,society of physical medicine & rehabilitation,alabama,medical,general,physical/rehab,medical ed,2002,2500
