organization,department,year,amount
academy of managed care pharmacy,conventions,2002,22400
academy of managed care pharmacy,conventions,2003,11200
academy of managed care pharmacy,conventions,2004,0
academy of managed care pharmacy,conventions,2005,0
academy of managed care pharmacy,conventions,2006,0
academy of managed care pharmacy,conventions,2007,0
academy of managed care pharmacy,conventions,2008,0
academy of managed care pharmacy,conventions,2009,0
academy of managed care pharmacy,conventions,2010,0
academy of managed care pharmacy,conventions,2011,0
academy of managed care pharmacy,conventions,2012,0
academy of managed care pharmacy,conventions,2013,0
academy of managed care pharmacy,conventions,2014,4000
academy of managed care pharmacy,conventions,2015,0
academy of managed care pharmacy,managedcare ff,2002,1495
academy of managed care pharmacy,managedcare ff,2003,2730
academy of managed care pharmacy,managedcare ff,2004,2550
academy of managed care pharmacy,managedcare ff,2005,440
academy of managed care pharmacy,managedcare ff,2006,0
academy of managed care pharmacy,managedcare ff,2007,0
academy of managed care pharmacy,managedcare ff,2008,0
academy of managed care pharmacy,managedcare ff,2009,0
academy of managed care pharmacy,managedcare ff,2010,0
academy of managed care pharmacy,managedcare ff,2011,0
academy of managed care pharmacy,managedcare ff,2012,0
academy of managed care pharmacy,managedcare ff,2013,50000
academy of managed care pharmacy,managedcare ff,2014,0
academy of managed care pharmacy,managedcare ff,2015,0
academy of managed care pharmacy,market research,2002,0
academy of managed care pharmacy,market research,2003,1560
academy of managed care pharmacy,market research,2004,0
academy of managed care pharmacy,market research,2005,0
academy of managed care pharmacy,market research,2006,0
academy of managed care pharmacy,market research,2007,0
academy of managed care pharmacy,market research,2008,0
academy of managed care pharmacy,market research,2009,0
academy of managed care pharmacy,market research,2010,0
academy of managed care pharmacy,market research,2011,0
academy of managed care pharmacy,market research,2012,0
academy of managed care pharmacy,market research,2013,0
academy of managed care pharmacy,market research,2014,0
academy of managed care pharmacy,market research,2015,0
academy of managed care pharmacy,market strategies,2002,0
academy of managed care pharmacy,market strategies,2003,0
academy of managed care pharmacy,market strategies,2004,0
academy of managed care pharmacy,market strategies,2005,0
academy of managed care pharmacy,market strategies,2006,0
academy of managed care pharmacy,market strategies,2007,0
academy of managed care pharmacy,market strategies,2008,0
academy of managed care pharmacy,market strategies,2009,0
academy of managed care pharmacy,market strategies,2010,7828
