organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,conventions,2002,22400
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,conventions,2003,11200
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,conventions,2014,4000
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,managedcare ff,2002,1495
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,managedcare ff,2003,2730
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,managedcare ff,2004,2550
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,managedcare ff,2005,440
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,managedcare ff,2013,50000
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,market research,2003,1560
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,market strategies,2010,7828
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,market strategies,2012,3939.75
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,medical ed,2005,1000
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,patient & professional relations,2014,15000
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,prof relations,2002,8500
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,prof relations,2004,8500
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,professional rels,2004,9500
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,st. gov leg  aff,2006,9500
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,st. gov leg  aff,2007,9500
academy of managed care pharmacy,academy of managed care pharmacy,none,medical,pharmacist,managed care,st. gov leg  aff,2008,9500
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,conventions,2003,47850
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,conventions,2005,30000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,conventions,2006,11400
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,conventions,2007,5800
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,conventions,2008,17200
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,lecture program,2002,30000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,marketing,2003,25000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,medical ed,2005,25000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,other,prof relations,2002,25000
addiction medicine & health advocates inc,addiction medicine & health advocates inc,none,other,,addiction,medical rsch,2004,225
advanced practice nurses & physician assistants,advanced practice nurses & physician assistants,none,medical,"nurse, physician assistants",other,conventions,2002,250
advanced practice nurses of the ozarks,advanced practice nurses,none,medical,nurse,other,conventions,2007,500
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2003,825
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2004,850
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2005,850
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2013,1200
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,conventions,2014,1200
alabama academy of family physicians,academy of family physicians,alabama,medical,physician,family,medical ed,2002,2800
alabama assoc of chiefs of police c/o treasurer,NA,NA,NA,,NA,lele,2004,550
alabama chapter american college of physicians,college of physicians,alabama,medical,physician,other,conventions,2003,800
alabama chapter american college of physicians,college of physicians,alabama,medical,physician,other,lecture program,2002,800
alabama medical directors assoc,medical directors association,alabama,medical,director,other,conventions,2003,500
alabama medical directors assoc,medical directors association,alabama,medical,director,other,conventions,2004,1050
alabama medical directors assoc,medical directors association,alabama,medical,director,other,conventions,2006,850
alabama medical directors assoc,medical directors association,alabama,medical,director,other,conventions,2010,400
alabama medical directors assoc,medical directors association,alabama,medical,director,other,managedcare ff,2002,500
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2003,1150
