Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,,,175.00,,,,,,,,,,,,,175.00
ASSOC OF REHAB NURSES SW PA,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
Medical Ed,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
ASSOCIATION OF FAMILY PRACTICE PHYSICIAN ASSISTANTS,,,"3,500.00",,,,,"3,000.00","15,000.00","27,554.00","11,396.00",,,"6,000.00",,"66,450.00"
Conventions,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Medical Ed,,,"2,500.00",,,,,"3,000.00","15,000.00","27,554.00","11,396.00",,,"6,000.00",,"65,450.00"
ASSOCIATION OF ONCOLOGY SOCIAL WORK,"6 ,000.00",,"5,000.00","5,000.00","5,000.00",,,,,,,"36,000.00","17,000.00","3,000.00",,"77,000.00"
Medical Ed,"6,000.00",,"5,000.00","5,000.00","5,000.00",,,,,,,,,,,"21,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,"36,000.00","17,000.00","3,000.00",,"56,000.00"
ASSOCIATION OF PEDIATRIC HEMATOLOGY ONCOLOGY NURSES,,,,,,,,,,,,"1,500.00","1,920.00",,,"3,420.00"
St. Gov Leg  Aff,,,,,,,,,,,,"1,500.00","1,920.00",,,"3,420.00"
ASSOCIATION OF REHAB NURSES,"10,000.00",,"16,862.50","13,138.85","22,800.00",,"2,000.00","2,000.00",,"15,000.00","42,500.00","30,000.00","20,000.00","19,000.00",,"193,301.35"
Conventions,,,"2,800.00",,800.80,,,,,,,,,,,"3,600.80"
Medical Ed,"10,000.00",,"14,062.50","13,138.85","20,000.00",,,,,,,"10,000.00",,"5,000.00",,"72,201.35"
New Prod-Budget,,,,,"1,999.20",,,,,,,,,,,"1,999.20"
St. Gov Leg  Aff,,,,,,,"2,000.00","2,000.00",,"15,000.00","42,500.00","20,000.00","20,000.00","14,000.00",,"115,500.00"
ASSOCIATION OF SOUTHEAST MINNESOTA NURSE PRACTIONERS,"1 ,000.00",,,,,,,,,,,,,,,"1,000.00"
Lecture Program,"1,000.00",,,,,,,,,,,,,,,"1,000.00"
ASSOCIATION OF STATE AND TERRITORIAL CHRONIC DISEASE,,,245.00,,,,,,,,,,,,,245.00
Public Affairs,,,245.00,,,,,,,,,,,,,245.00
ATLANTA CONVENTION  & VISITORS BUREAU ENTERPRISES LTD,,,240.00,,,,,,,,,,,,,240.00
Medical Ed,,,240.00,,,,,,,,,,,,,240.00
AVENTINE CO dba AVENTINE HEALTH SCIENCES,,,,,,,200.00,,,"60,000.00","77,600.00","81,000.00","125,477.00","110,000.00","30,000.00","484,277.00"
Conventions,,,,,,,,,,,"77,600.00","81,000.00","75,000.00","9,500.00",,"243,100.00"
Health Policy,,,,,,,,,,,,,"1,035.00",,,"1,035.00"
Medical Ed,,,,,,,200.00,,,"60,000.00",,,"8,400.00",,,"68,600.00"
Medical Servs,,,,,,,,,,,,,"3,000.00",,,"3,000.00"
Promotions RX,,,,,,,,,,,,,"38,042.00","100,500.00","30,000.00","168,542.00"
