Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Pur Pharma Fund,"2,500.00",,,,,,,,,,,,,"2,500.00"
National Fibromyalgia & Chronic Pain Assn,,,,,,,,,,,"14,365.00","7,500.00","30,000.00","51,865.00"
St. Gov Leg  Aff,,,,,,,,,,,"14,365.00","7,500.00","30,000.00","51,865.00"
NATIONAL FIBROMYALGIA ASSOCIATION,,35.00,"55,000.00",,"10,000.00","25,000.00","25,000.00","21,910.00",,,,,,"136,945.00"
Public Affairs,,35.00,,,,,,"1,000.00",,,,,,"1,035.00"
Pur Pharma Fund,,,"55,000.00",,,"25,000.00","25,000.00","20,910.00",,,,,,"125,910.00"
St. Gov Leg  Aff,,,,,"10,000.00",,,,,,,,,"10,000.00"
NATIONAL GOVERNORS ASSOCIATION CENTERS FOR BEST PRACTICES,,,,,,,,,,,"40,000.00","20,000.00","20,000.00","80,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"40,000.00","20,000.00","20,000.00","80,000.00"
NATIONAL HEADACHE FOUNDATION,,,,"1,000.00","1,000.00","1,000.00","1,000.00",,"1,000.00",,,,,"5,000.00"
Professional Rels,,,,"1,000.00",,,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,"1,000.00","1,000.00","1,000.00",,"1,000.00",,,,,"4,000.00"
NATIONAL HEALTH COUNCIL,,,,,,,,,"50,000.00","13,200.00","68,100.00","33,100.00","37,200.00","201,600.00"
Analgesic,,,,,,,,,"50,000.00",,"25,000.00",,,"75,000.00"
St. Gov Leg  Aff,,,,,,,,,,"13,200.00","43,100.00","33,100.00","37,200.00","126,600.00"
NATIONAL HOSPICE & PALLIATIVE CARE ORGANIZATION,"34,200.00","8,955.00","4,000.00","3,000.00","1,000.00","2,650.00","2,000.00","2,000.00",,,,,,"57,805.00"
Conventions,"4,200.00","6,850.00","4,000.00",,,,,,,,,,,"15,050.00"
Fed Gov Affairs,,,,"2,000.00","1,000.00","2,000.00","2,000.00","2,000.00",,,,,,"9,000.00"
Medical Ed,"30,000.00",,,,,,,,,,,,,"30,000.00"
Public Affairs,,625.00,,,,,,,,,,,,625.00
Pur Pharma Fund,,"1,480.00",,"1,000.00",,,,,,,,,,"2,480.00"
St. Gov Leg  Aff,,,,,,650.00,,,,,,,,650.00
NATIONAL HOSPICE FOUNDATION,,,,,,,,"1,500.00","2,500.00","50,000.00","75,000.00","16,000.00",,"145,000.00"
Fed Gov Affairs,,,,,,,,,"1,000.00",,,"1,000.00",,"2,000.00"
Medical Ed,,,,,,,,,,,,"15,000.00",,"15,000.00"
St. Gov Leg  Aff,,,,,,,,"1,500.00","1,500.00","50,000.00","75,000.00",,,"128,000.00"
NATIONAL MEDICAL ASSOCIATION,"117,320.00","70,550.00",,,,,,"20,000.00","10,000.00",,"37,500.00",,,"255,370.00"
Conventions,"11,750.00","30,550.00",,,,,,,,,,,,"42,300.00"
Medical Ed,"55,570.00","40,000.00",,,,,,"20,000.00","10,000.00",,"37,500.00",,,"163,070.00"
Pur Pharma Fund,"50,000.00",,,,,,,,,,,,,"50,000.00"
NATIONAL NARCOTIC OFFICERS,,,,,,,,"25,000.00",,"10,000.00","2,500.00",,,"37,500.00"
Corp.Security,,,,,,,,"25,000.00",,"10,000.00","2,500.00",,,"37,500.00"
NATIONAL ORG FOR RARE DISORDERS,"5 ,000.00",,"5,000.00","5,000.00","5,000.00","5,500.00","5,500.00",500.00,"1,000.00","7,500.00","2,000.00","5,000.00",,"47,000.00"
Pur Pharma Fund,"5,000.00",,"5,000.00","5,000.00",,,,,,,,,,"15,000.00"
St. Gov Leg  Aff,,,,,"5,000.00","5,500.00","5,500.00",500.00,"1,000.00","7,500.00","2,000.00","5,000.00",,"32,000.00"
NATIONAL OSTEOPOROSIS FOUNDATION,,,,,,,,,,"7,500.00",,,,"7,500.00"
Medical Ed,,,,,,,,,,"7,500.00",,,,"7,500.00"
NATIONAL PATIENT ADVOCATE FOUNDATIO,,,,,,"65,000.00","65,000.00","65,000.00","65,000.00","75,000.00","25,000.00","90,000.00","95,000.00","545,000.00"
Patient & Professional Relations,,,,,,,,,,,,,"30,000.00","30,000.00"
St. Gov Leg  Aff,,,,,,"65,000.00","65,000.00","65,000.00","65,000.00","75,000.00","25,000.00","90,000.00","65,000.00","515,000.00"
NATIONAL SHERIFFS ASSOC TRADE SHOW,,"1,840.00",250.00,550.00,"9,385.75","6,450.00",,"7,039.84","8,219.50","8,619.50","5,958.50",,,"48,313.09"
LELE,,"1,840.00",,550.00,"9,385.75","6,450.00",,"7,039.84","8,219.50","8,619.50","5,958.50",,,"48,063.09"
Pur Pharma Fund,,,250.00,,,,,,,,,,,250.00
NATIONAL SLEEP FOUNDATION,,"1,000.00",,,,,,,,"10,000.00","2,500.00","10,000.00",,"23,500.00"
Clinical Pharm,,"1,000.00",,,,,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,,,"10,000.00","2,500.00","10,000.00",,"22,500.00"
NATIONAL STROKE ASSOCIATION,,,,,,,,"5,500.00","1,500.00",,,,,"7,000.00"
St. Gov Leg  Aff,,,,,,,,"5,500.00","1,500.00",,,,,"7,000.00"
NATIONAL VULVODYNIA ASSOCIATION,,"5,000.00",,,,,,"5,000.00","10,200.00","15,000.00","10,000.00","20,000.00",,"65,200.00"
Pur Pharma Fund,,"5,000.00",,,,,,,,,,,,"5,000.00"
St. Gov Leg  Aff,,,,,,,,"5,000.00","10,200.00","15,000.00","10,000.00","20,000.00",,"60,200.00"
NATL ASSN OF DRUG DIVERSION INVESTIGATORS OF FLORIDA INC,,,,"1,000.00",,,,,,,,,,"1,000.00"
Corp.Security,,,,"1,000.00",,,,,,,,,,"1,000.00"
NC CHARLOTTE CHAPTER OF NAPNAP,,750.00,500.00,,,,,,,,,,,"1,250.00"
Conventions,,750.00,500.00,,,,,,,,,,,"1,250.00"
NEA HEALTH INFORMATION NETWORK,,,,,,,,,,"225,000.00","277,570.00",,,"502,570.00"
St. Gov Leg  Aff,,,,,,,,,,"225,000.00","277,570.00",,,"502,570.00"
NEBRASKA ACADEMY OF FAMILY PHYSICIANS,850.00,850.00,950.00,,,,,"2,500.00","5,500.00","2,000.00",,"1,000.00",,"13,650.00"
Conventions,,850.00,950.00,,,,,,"1,000.00",,,"1,000.00",,"3,800.00"
