Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,500.00,,,,,,,,,,,,,,500.00
"NEW JERSEY PHARMACISTS ASSOC 1 ,250.00",,,240.00,,,,,,"9,490.00",,,,,,"10,980.00"
Executive Admin,,,240.00,,,,,,,,,,,,240.00
"ManagedCare FF 1,250.00",,,,,,,,,,,,,,,"1,250.00"
Medical Ed,,,,,,,,,"9,490.00",,,,,,"9,490.00"
NEW JERSEY POLICE OFFICERS FOUNDATION,,,,,,,"1,250.00","1,250.00","1,250.00",,,,,,"3,750.00"
Discovery Admin,,,,,,,,"1,250.00","1,250.00",,,,,,"2,500.00"
Pur Pharma Fund,,,,,,,"1,250.00",,,,,,,,"1,250.00"
NEW JERSEY RHEUMATOLOGY ASSOC,500.00,,,,,,,,,,,,,,500.00
Lecture Program,500.00,,,,,,,,,,,,,,500.00
NEW JERSEY SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,,"1,000.00",750.00,"3,000.00",,,,,,,,,"2,000.00","6,750.00"
Conventions,,,"1,000.00",750.00,"1,000.00",,,,,,,,,"2,000.00","4,750.00"
Medical Ed,,,,,"2,000.00",,,,,,,,,,"2,000.00"
NEW JERSEY STATE ASSOC OF CHIEFS OF POLICE,,,,"1,050.00",,,,,,,,,,,"1,050.00"
LELE,,,,"1,050.00",,,,,,,,,,,"1,050.00"
NEW JERSEY STATE SOCIETY OF ANESTHESIOLOGISTS,,,,,400.00,,,,,,,,,,400.00
Conventions,,,,,400.00,,,,,,,,,,400.00
NEW JERSEY THORACIC SOCIETY,375.00,,,,,,,,,,,,,,375.00
Lecture Program,375.00,,,,,,,,,,,,,,375.00
"NEW MEXICO BOARD OF PHARMACY 1 ,215.00",,,"1,460.00","18,920.00",820.00,820.00,"1,520.00",120.00,"1,520.00",120.00,"2,255.00",180.00,"2,280.00",1 80.00,"31,410.00"
"General Counsel 1,215.00",,,"1,460.00","18,920.00",820.00,820.00,"1,520.00",120.00,"1,520.00",120.00,"2,255.00",180.00,"2,280.00",1 80.00,"31,410.00"
NEW MEXICO CHAPTER AMERICAN COLLEGE OF PHYSICIANS,,,,,,,,,750.00,,,,,,750.00
Conventions,,,,,,,,,750.00,,,,,,750.00
NEW MEXICO OSTEOPATHIC MEDICAL ASSOCIATION,450.00,,"5,700.00",,,750.00,"3,000.00",,"4,000.00","6,000.00","4,500.00","6,900.00","3,325.00",,"34,625.00"
Conventions,450.00,,100.00,,,,,,,,,900.00,,,"1,450.00"
Lecture Program,,,"1,600.00",,,,,,,,,,,,"1,600.00"
Medical Ed,,,"4,000.00",,,750.00,"3,000.00",,"4,000.00","6,000.00","4,500.00","6,000.00","3,325.00",,"31,575.00"
"NEW MEXICO PAIN INITIATIVE 10,000.00",,,,,,,,,,,,,,,"10,000.00"
"Medical Ed 10,000.00",,,,,,,,,,,,,,,"10,000.00"
NEW MEXICO SOCIETY OF HEALTH SYSTEM PHARMACISTS 2,",200.00",,,,,,,,,,,,,,"2,200.00"
"Lecture Program 2,200.00",,,,,,,,,,,,,,,"2,200.00"
NEW YORK ACADEMY OF FAMILY PHYSICIANS 1,",000.00",,,"2,000.00",,,,,,,,"10,000.00",,,"13,000.00"
Conventions,,,,"1,000.00",,,,,,,,,,,"1,000.00"
"ManagedCare FF 1,000.00",,,,,,,,,,,,,,,"1,000.00"
Other,,,,"1,000.00",,,,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,"10,000.00",,,"10,000.00"
NEW YORK CHAPTER OF THE AMERICAN COLLEGE OF PHYSICIANS - AMERICAN,,,"4,000.00",,,,,,,,,,,,"4,000.00"
Medical Ed,,,"4,000.00",,,,,,,,,,,,"4,000.00"
