Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Prof Relations,,,"1,000.00",,,,,,,,,,,,,,"1,000.00"
OHIO STATE MEDICAL ASSOCIATION,,600.00,,,,,,,,,,"10,000.00",,,,,"10,600.00"
Conventions,,600.00,,,,,,,,,,,,,,,600.00
Medical Ed,,,,,,,,,,,,"10,000.00",,,,,"10,000.00"
OHIO STATE SOCIETY OF THE AMERICAN COLLEGE OF OSTEOPATHIC,,,750.00,,,,,,,,,,,,,,750.00
Conventions,,,750.00,,,,,,,,,,,,,,750.00
OK CHAPTER OF NATIONAL ASSOC OF DIRECTORS OF NURSING ADMIN,,,"10,000.00",,,,,,,,,,,,,,"10,000.00"
Medical Ed,,,"10,000.00",,,,,,,,,,,,,,"10,000.00"
OKLAHOMA ACADEMY OF,,,,,,,,,,,,"2,000.00",,,,,"2,000.00"
Conventions,,,,,,,,,,,,"1,000.00",,,,,"1,000.00"
Promotions RX,,,,,,,,,,,,"1,000.00",,,,,"1,000.00"
OKLAHOMA OSTEOPATHIC ASSOCIATION,"1 ,700.00",,"4,200.00","2,950.00","1,200.00",,,,"10,000.00","10,000.00",,,,,,,"30,050.00"
Conventions,"1,200.00",,,"1,700.00","1,200.00",,,,,,,,,,,,"4,100.00"
Lecture Program,,,"2,500.00",,,,,,,,,,,,,,"2,500.00"
ManagedCare FF,,500.00,"1,700.00",,,,,,,,,,,,,,"2,200.00"
Medical Ed,,,,"1,250.00",,,,,"10,000.00","10,000.00",,,,,,,"21,250.00"
OKLAHOMA PHARMACISTS ASSOC,,700.00,820.00,,"1,500.00",,,,,,,,,,,,"3,020.00"
Lecture Programs,,,820.00,,,,,,,,,,,,,,820.00
ManagedCare FF,,700.00,,,,,,,,,,,,,,,700.00
Medical Ed,,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
OKLAHOMA SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,,,,,"1,500.00",,,,,,,,,,"1,500.00"
Dom Oth Inc_Exp,,,,,,,"1,500.00",,,,,,,,,,"1,500.00"
OKLAHOMA STATE BOARD OF PHARMACY,,400.00,400.00,400.00,550.00,400.00,400.00,400.00,400.00,400.00,800.00,600.00,6 00.00,,6 00.00,,"6,350.00"
General Counsel,,400.00,400.00,400.00,550.00,400.00,400.00,400.00,400.00,400.00,800.00,600.00,6 00.00,,6 00.00,,"6,350.00"
ONCOLOGY NURSES SOCIETY,"59,900.00",,"7,000.00",,"33,300.00","8,700.00",,,,,,,,,,,"108,900.00"
Conventions,"59,900.00",,"7,000.00",,"16,650.00","8,700.00",,,,,,,,,,,"92,250.00"
New Prod-Budget,,,,,"16,650.00",,,,,,,,,,,,"16,650.00"
ONCOLOGY NURSING SOCIETY,"85,981.83",,"194,530.00","122,395.00","79,442.35","2,900.00",,"18,090.00","13,290.00","5,000.00","8,000.00","20,520.00","5,000.00",,"5,000.00",,"560,149.18"
Conventions,,,"70,725.00",280.00,"35,000.00","2,900.00",,"6,090.00","6,290.00",,,,,,,,"121,285.00"
General Counsel,,,,"7,500.00",,,,,,,,,,,,,"7,500.00"
Lecture Program,"7,500.00",,,,,,,,,,,,,,,,"7,500.00"
Medical Ed,"66,481.83",,"68,720.00","64,615.00","44,442.35",,,,"7,000.00","5,000.00","5,000.00","20,520.00","5,000.00",,"5,000.00",,"291,779.18"
Mkt Intrnt Strt,,,"50,000.00",,,,,,,,,,,,,,"50,000.00"
Other,"12,000.00",,"5,000.00","50,000.00",,,,"12,000.00",,,,,,,,,"79,000.00"
Public Affairs,,,85.00,,,,,,,,,,,,,,85.00
St. Gov Leg  Aff,,,,,,,,,,,"3,000.00",,,,,,"3,000.00"
ONCOLOGY NURSING SOCIETY LITTLE ROCK CHAPTER,,,"1,600.00",,,,,,,,,,,,,,"1,600.00"
Lecture Programs,,,"1,600.00",,,,,,,,,,,,,,"1,600.00"
ONCOLOGY NURSING SOCIETY PUGET SOUND CHAPTER,,300.00,750.00,,,,,700.00,,,500.00,,5 00.00,,5 00.00,,"3,250.00"
Conventions,,300.00,,,,,,700.00,,,500.00,,5 00.00,,5 00.00,,"2,500.00"
Lecture Program,,,750.00,,,,,,,,,,,,,,750.00
ONS FOUNDATION,"7 ,500.00",,"12,200.00","12,200.00","12,200.00",,"12,200.00","10,220.00","12,000.00","12,000.00","12,000.00","15,000.00","30,000.00",,"5,000.00",,"152,520.00"
Medical Ed,"7,500.00",,"12,200.00","12,200.00",,,"12,200.00","10,220.00","12,000.00","12,000.00","12,000.00","15,000.00","30,000.00",,"5,000.00",,"140,320.00"
Other,,,,,"12,200.00",,,,,,,,,,,,"12,200.00"
ORANGE CHAPTER  ONCOLOGY NURSING SOCIETY,,,500.00,,,,,,,,,,,,,,500.00
Conventions,,,500.00,,,,,,,,,,,,,,500.00
OREGON GERIATRICS SOCIETY,,,,,,,,,,,"1,950.00",,,,,,"1,950.00"
Conventions,,,,,,,,,,,"1,950.00",,,,,,"1,950.00"
OREGON MEDICAL DIRECTORS ASSOCIATION,"3 ,000.00",,,,,,,,,,,,,,,,"3,000.00"
Medical Ed,"3,000.00",,,,,,,,,,,,,,,,"3,000.00"
OREGON NURSE ASSOCIATION,,450.00,800.00,500.00,,,650.00,400.00,650.00,,,,,,7 25.00,,"4,175.00"
Conventions,,450.00,800.00,500.00,,,650.00,400.00,650.00,,,,,,7 25.00,,"4,175.00"
OREGON SOC OF CONSULTANT PHARMACISTS,,,"1,000.00",,,,750.00,,,,,,,,,,"1,750.00"
Conventions,,,,,,,750.00,,,,,,,,,,750.00
Lecture Programs,,,"1,000.00",,,,,,,,,,,,,,"1,000.00"
OREGON SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,,750.00,,,,"2,000.00",,,,,,,,,"2,750.00"
Conventions,,,,750.00,,,,,,,,,,,,,750.00
Medical Ed,,,,,,,,"2,000.00",,,,,,,,,"2,000.00"
OREGON SOCIETY OF PHYSICIAN ASSISTA,,500.00,750.00,,,,700.00,,,,700.00,,,,,,"2,650.00"
