Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
SOUTHERN MAINE ONCOLOGY NURSING SOCIETY,,,"1,000.00",,,,,,,,,,,,,,,"1,000.00"
Lecture Program,,,"1,000.00",,,,,,,,,,,,,,,"1,000.00"
"SOUTHERN MEDICAL ASSOCIATION 1 ,295.00",,,"1,700.00",,,,,,,,,,,,,,,"2,995.00"
"Conventions 1,295.00",,,850.00,,,,,,,,,,,,,,,"2,145.00"
Promotions RX,,,850.00,,,,,,,,,,,,,,,850.00
SOUTHERN PAIN SOCIETY,,,,,,,750.00,,,,,500.00,,,,,,"1,250.00"
Conventions,,,,,,,750.00,,,,,,,,,,,750.00
Medical Ed,,,,,,,,,,,,500.00,,,,,,500.00
"SOUTHWEST WASHINGTON PHARMACISTS ASSOCIATION 3 ,000.00",,,,,,,,,,,,,,,,,,"3,000.00"
"Lecture Program 3,000.00",,,,,,,,,,,,,,,,,,"3,000.00"
STATE OF COLORADO BOARD OF PHARMACY 500.00,,,500.00,800.00,,,,,,,,,,,,,,"1,800.00"
General Counsel 500.00,,,500.00,800.00,,,,,,,,,,,,,,"1,800.00"
STATE OF IDAHO BOARD OF PHARMACY 200.00,,,200.00,200.00,200.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,4 00.00,,,,,"4,000.00"
General Counsel 200.00,,,200.00,200.00,200.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,4 00.00,,,,,"4,000.00"
STATE OF INDIANA INDIANA ATTORNEY GENERALS OFFICE,,,,,,,,45.78,,,,,,,,,,45.78
Dom Oth Inc_Exp,,,,,,,,45.78,,,,,,,,,,45.78
STATE OF MISSOURI MISSOURI BOARD OF PHARMACY,,,836.00,36.00,838.00,,825.00,,950.00,,950.00,,5 00.00,,,,,"4,935.00"
General Counsel,,,836.00,36.00,838.00,,825.00,,950.00,,950.00,,5 00.00,,,,,"4,935.00"
STATE OF VERMONT OFFICE OF THE ATTORNEY GENERAL,,,,,,,,,500.00,500.00,500.00,750.00,5 00.00,,5 00.00,,,"3,250.00"
Corp Compliance,,,,,,,,,500.00,500.00,500.00,750.00,5 00.00,,5 00.00,,,"3,250.00"
STATE OF WEST VIRGINIA ATTORNEY GENERALS OFFICE,,,,"2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00",,,,,,,,,,"1 0,000,000.00",
Other,,,,"2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00",,,,,,,,,,"10,000,000.00",
"TENNESSEE ACADEMY OF FAMILY PHYSICIANS 5 ,675.00",,,700.00,700.00,,,,,900.00,,,,"1,000.00",,"1,250.00",,,"10,225.00"
Conventions,,,700.00,700.00,,,,,900.00,,,,"1,000.00",,"1,250.00",,,"4,550.00"
"Medical Ed 5,000.00",,,,,,,,,,,,,,,,,,"5,000.00"
Sales Force 675.00,,,,,,,,,,,,,,,,,,675.00
"TENNESSEE ACADEMY OF PHYSICIAN ASSISTANTS 2 ,889.67",,,575.00,900.00,,750.00,750.00,,,"2,550.00",,,"2,500.00",,8 50.00,,,"11,764.67"
Conventions,,,575.00,900.00,,750.00,750.00,,,,,,,,8 50.00,,,"3,825.00"
"Medical Ed 2,889.67",,,,,,,,,,"2,550.00",,,"2,500.00",,,,,"7,939.67"
TENNESSEE ASSOCIATION OF CHIEFS OF POLICE,,,500.00,,,,,,,,,650.00,6 00.00,,6 00.00,,,"2,350.00"
LELE,,,500.00,,,,,,,,,650.00,6 00.00,,6 00.00,,,"2,350.00"
TENNESSEE DEPARTMENT OF HEALTH HEALTH RELATED BOARD/S OF PHARMACY,,,,,,,,,,,,910.00,,,,,,910.00
General Counsel,,,,,,,,,,,,910.00,,,,,,910.00
TENNESSEE NARCOTIC OFFICERS ASSOC,,,,,,,,,,,"5,000.00","1,500.00",,,,,,"6,500.00"
Corp.Security,,,,,,,,,,,,"1,500.00",,,,,,"1,500.00"
LELE,,,,,,,,,,,"5,000.00",,,,,,,"5,000.00"
TENNESSEE PHARMACISTS ASSOC 750.00,,,"4,350.00",,,,"1,000.00",,,,,,,,,,,"6,100.00"
Conventions,,,"1,350.00",,,,,,,,,,,,,,,"1,350.00"
Lecture Programs,,,"3,000.00",,,,,,,,,,,,,,,"3,000.00"
ManagedCare FF 750.00,,,,,,,,,,,,,,,,,,750.00
Medical Ed,,,,,,,"1,000.00",,,,,,,,,,,"1,000.00"
"TEXAS ACADEMY OF FAMILY PHYSICIANS 1 ,125.00",,,"5,125.00",,"5,000.00",,,,,"22,000.00","33,960.00","28,270.00","19,135.00",,"14,040.00",,,"128,655.00"
"Conventions 1,125.00",,,"1,125.00",,,,,,,,,,,,,,,"2,250.00"
