Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
TEXAS NARCOTIC OFFICERS ASSOCIATION,,,,,,,,,,,,"3,000.00","3,000.00","3,000.00",,"9,000.00"
Corp.Security,,,,,,,,,,,,,,"3,000.00",,"3,000.00"
LELE,,,,,,,,,,,,"3,000.00","3,000.00",,,"6,000.00"
TEXAS OSTEOPATHIC MEDICAL ASSOC,875.00,,400.00,,,,"1,200.00",,,,,,,,,"2,475.00"
Conventions,,,,,,,"1,200.00",,,,,,,,,"1,200.00"
ManagedCare FF,875.00,,400.00,,,,,,,,,,,,,"1,275.00"
TEXAS PAIN SOCIETY,,,"15,000.00","10,000.00","5,000.00","1,500.00","2,000.00","3,500.00","5,000.00","10,000.00","10,000.00","13,100.00","1,500.00","1,500.00",,"78,100.00"
Conventions,,,,,,,,,,,,"1,600.00","1,500.00","1,500.00",,"4,600.00"
Medical Ed,,,"15,000.00","10,000.00","5,000.00","1,500.00","2,000.00",,"5,000.00","10,000.00","10,000.00","10,000.00",,,,"68,500.00"
Promotions RX,,,,,,,,,,,,"1,500.00",,,,"1,500.00"
St. Gov Leg  Aff,,,,,,,,"3,500.00",,,,,,,,"3,500.00"
"TEXAS PHARMACY ASSOC 1 ,550.00",,,"3,250.00","10,750.00","3,000.00",,"1,000.00","2,000.00","12,000.00","4,000.00","23,500.00",,"15,000.00",,,"76,050.00"
Conventions,,,"2,000.00","1,750.00",,,,,,,,,,,,"3,750.00"
Health Policy,,,,,,,,,"10,000.00",,,,,,,"10,000.00"
"Lecture Program 1,550.00",,,,,,,,,,,,,,,,"1,550.00"
Market Strategies,,,"1,250.00",,,,,,,,,,,,,"1,250.00"
Medical Ed,,,,,"3,000.00",,"1,000.00","2,000.00","2,000.00","4,000.00","23,500.00",,"15,000.00",,,"50,500.00"
Other,,,,"9,000.00",,,,,,,,,,,,"9,000.00"
TEXAS PHARMACY FOUNDATION,,,,,,,,,,"12,500.00",,,,,,"12,500.00"
Medical Ed,,,,,,,,,,"12,500.00",,,,,,"12,500.00"
TEXAS SOCIETY OF ANESTHESIOLOGISTS,,,,,,,,,,"5,000.00",,"1,800.00",,,,"6,800.00"
Conventions,,,,,,,,,,,,"1,800.00",,,,"1,800.00"
Medical Ed,,,,,,,,,,"5,000.00",,,,,,"5,000.00"
TEXAS SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,,,,,,,"2,250.00","3,200.00",,,,,,"5,450.00"
Medical Ed,,,,,,,,,"2,250.00","3,200.00",,,,,,"5,450.00"
THIRD DISTRICT OF MINNESOTA NURSES ASSOCIATION,500.00,,400.00,,,,,,,,,,,,,900.00
Conventions,,,400.00,,,,,,,,,,,,,400.00
Lecture Program,500.00,,,,,,,,,,,,,,,500.00
TMJ ASSOCIATION LTD,,,,,,,,"4,000.00",,"5,000.00","10,000.00","30,000.00","20,000.00","30,000.00",,"99,000.00"
Medical Ed,,,,,,,,"4,000.00",,,"10,000.00",,,,,"14,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"30,000.00",,"30,000.00"
St. Gov Leg  Aff,,,,,,,,,,"5,000.00",,"30,000.00","20,000.00",,,"55,000.00"
TOLEDO AREA ONCOLOGY NURSING SOC,250.00,,,,,,,,,,,,,,,250.00
Conventions,250.00,,,,,,,,,,,,,,,250.00
UNITED STATES CONFERENCE OF MAYORS MAYORS BUSINESS COUNCIL,,,,"23,000.00",,,,,"241,250.00","70,000.00","250,000.00","225,000.00","250,000.00",,,"1,059,250.00"
Public Affairs,,,,,,,,,,,"75,000.00",,"25,000.00",,,"100,000.00"
St. Gov Leg  Aff,,,,"23,000.00",,,,,"241,250.00","70,000.00","175,000.00","225,000.00","225,000.00",,,"959,250.00"
UPSTATE NEW YORK CHAPTER OF AMERICAN SOCIETY OF PAIN MGT NURSES,,,"1,000.00",,500.00,,,,,,,,,,,"1,500.00"
Conventions,,,"1,000.00",,500.00,,,,,,,,,,,"1,500.00"
US PAIN FOUNDATION INC,,,,,,,,,,"12,500.00","30,000.00","30,000.00","59,500.00","104,800.00","25,000.00","261,800.00"
Patient & Professional Relations,,,,,,,,,,,,,,"30,000.00","25,000.00","55,000.00"
Public Affairs,,,,,,,,,,,,,,3 00.00,,300.00
Pur Pharma Fund,,,,,,,,,,"12,500.00","30,000.00","30,000.00","50,000.00","25,000.00",,"147,500.00"
St. Gov Leg  Aff,,,,,,,,,,,,,"9,500.00","49,500.00",,"59,000.00"
UTAH ACADEMY OF PHYSICIAN ASSISTANT,,,350.00,350.00,,,,,450.00,"5,460.00","7,175.00",985.00,9 90.00,9 90.00,,"16,750.00"
Conventions,,,350.00,350.00,,,,,450.00,500.00,500.00,985.00,9 90.00,9 90.00,,"5,115.00"
Medical Ed,,,,,,,,,,"4,960.00","6,675.00",,,,,"11,635.00"
UTAH MEDICAL ASSOCIATION,,,,,,,,,,,725.00,,,,,725.00
Conventions,,,,,,,,,,,725.00,,,,,725.00
UTAH OSTEOPATHIC MEDICAL ASSOC,350.00,,350.00,350.00,,,,,,,500.00,,,7 00.00,,"2,250.00"
Conventions,350.00,,350.00,350.00,,,,,,,500.00,,,7 00.00,,"2,250.00"
"UTAH PHARMACISTS ASSOCIATION 2 ,500.00",,,300.00,,,,650.00,,"3,500.00",,,,,7 50.00,,"7,700.00"
Conventions,,,300.00,,,,650.00,,,,,,,7 50.00,,"1,700.00"
"Lecture Program 2,500.00",,,,,,,,,,,,,,,,"2,500.00"
Medical Ed,,,,,,,,,"3,500.00",,,,,,,"3,500.00"
UTAH SOCIETY OF ANESTHESIOLOGISTS,600.00,,,,,,,,,,,,,,,600.00
Conventions,600.00,,,,,,,,,,,,,,,600.00
UTAH SOCIETY OF HEALTH SYSTEM PHARMACISTS 1,",000.00",,,,,,,,,,,,,,,"1,000.00"
"Lecture Program 1,000.00",,,,,,,,,,,,,,,,"1,000.00"
