
Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total"Medical Ed 7,000.00",,,,,,,,,,,,,,,"7,000.00"
"AMERICAN MEDICAL ASSOCIATION 1,063,754.16",,"448,698.01","293,190.00","233,454.00","50,000.00","246,062.00","39,325.00","4,585.00","16,550.00","122,962.00","343,867.00","326,982.00","174,997.00","50,000.00","3,414,426.17"
Clinical Rsch 1 84.00,,,,,,,,,,,,,,,84.00
Library InfoServ 820.39,,,,,,"4,120.00","4,325.00","4,585.00","6,550.00","12,962.00","13,867.00","16,982.00","14,997.00",,"79,208.39"
Medical Ed,,,,"172,000.00",,"211,942.00",,,,,"30,000.00",,,,"413,942.00"
Par Against,,"20,041.00",,"9,454.00",,,,,,,,,,,"29,495.00"
Patient & Professional Relations,,,,,,,,,,,,,,"50,000.00","50,000.00"
Prof Relations,,,"243,190.00",,,,,,,,,,,,"243,190.00"
"Promotions RX 1,009,015.40",,"378,657.01",,,,,,,,,,,,,"1,387,672.41"
"Pur Pharma Fund 53,834.37",,"50,000.00","50,000.00","52,000.00",,,,,,"100,000.00",,,,,"305,834.37"
St. Gov Leg  Aff,,,,,"50,000.00","30,000.00","35,000.00",,"10,000.00","10,000.00","300,000.00","310,000.00","160,000.00",,"905,000.00"
"AMERICAN MEDICAL DIRECTORS ASSOC 45,058.00",,,,,,,,,,,,,,,"45,058.00"
Conventions 300.00,,,,,,,,,,,,,,,300.00
"Market Strategies 31,758.00",,,,,,,,,,,,,,,"31,758.00"
"Medical Ed 13,000.00",,,,,,,,,,,,,,,"13,000.00"
AMERICAN MEDICAL DIRECTORS ASSOC FOUNDATION,,,"25,000.00",,,,,,,,,,,,"25,000.00"
Professional Rels,,,"25,000.00",,,,,,,,,,,,"25,000.00"
"AMERICAN MEDICAL DIRECTORS ASSOCIATION 15,000.00",,"74,598.00","10,340.00","4,500.00",,,"60,713.80","30,000.00","70,000.00","36,822.50","22,300.00","15,000.00","15,000.00","15,000.00","369,274.30"
Conventions,,"22,150.00","7,200.00",,,,"4,500.00",,,"36,822.50",,,,,"70,672.50"
Medical Ed,,"2,448.00","3,140.00","4,500.00",,,"30,000.00","30,000.00","55,000.00",,"7,300.00",,,,"132,388.00"
"Other 15,000.00",,"15,000.00",,,,,,,,,,,,,"30,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"15,000.00","15,000.00"
Promotions RX,,"35,000.00",,,,,,,,,,,,,"35,000.00"
St. Gov Leg  Aff,,,,,,,"26,213.80",,"15,000.00",,"15,000.00","15,000.00","15,000.00",,"86,213.80"
AMERICAN OSTEOPATHIC ACADEMY OF ADDICTION MEDICINE,,,"5,000.00","5,000.00",,,"6,000.00","2,500.00",,,,,,,"18,500.00"
