Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,"85,000.00",,,,,,,,,,,"85,000.00"
Promotions RX,"40,376.88",,"14,508.75",,,,,,,,,,"54,885.63"
AMPUTEE COALITION OF AMERICA,,,,,,,"3,000.00",,"5,000.00",,"10,000.00","5,000.00","23,000.00"
St. Gov Leg  Aff,,,,,,,"3,000.00",,"5,000.00",,"10,000.00","5,000.00","23,000.00"
APA DIVISION 28 PSYCHOPHARMACOLOGY,,,,,,,,,,,"1,000.00",,"1,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"1,000.00",,"1,000.00"
APPALACHIAN PAIN FOUNDATION,"8 ,000.00",,,,,,,,,,,,"8,000.00"
Medical Ed,"8,000.00",,,,,,,,,,,,"8,000.00"
ARIZONA ACADEMY FAMILY PHYSICIANS,,"3,586.25",895.00,895.00,,,,"2,500.00",,,,,"7,876.25"
Conventions,,190.26,895.00,895.00,,,,,,,,,"1,980.26"
ManagedCare FF,,895.99,,,,,,,,,,,895.99
Medical Ed,,"2,500.00",,,,,,"2,500.00",,,,,"5,000.00"
ARIZONA GERIATRICS SOCIETY,"2 ,600.00","1,800.00",,900.00,,,,,,,,,"5,300.00"
Conventions,800.00,800.00,,900.00,,,,,,,,,"2,500.00"
Lecture Program,"1,800.00",,,,,,,,,,,,"1,800.00"
Medical Ed,,"1,000.00",,,,,,,,,,,"1,000.00"
ARIZONA HOSPICE & PALLIATIVE CARE,100.00,"1,750.00",,,,,,,,,,,"1,850.00"
Conventions,100.00,750.00,,,,,,,,,,,850.00
Medical Ed,,"1,000.00",,,,,,,,,,,"1,000.00"
ARIZONA MEDICAL ASSOCIATION,"3 ,000.00",,,,,,,,,,,,"3,000.00"
Lecture Program,"3,000.00",,,,,,,,,,,,"3,000.00"
ARIZONA NURSES ASSOCIATION,,"1,750.00",,,500.00,,,,,,,,"2,250.00"
Conventions,,750.00,,,,,,,,,,,750.00
Lecture Programs,,"1,000.00",,,,,,,,,,,"1,000.00"
Medical Ed,,,,,500.00,,,,,,,,500.00
ARIZONA OSTEOPATHIC MEDICAL ASSOC,,975.00,"3,975.00","1,000.00",,"1,450.00","1,100.00",,,,,,"8,500.00"
Conventions,,975.00,975.00,"1,000.00",,"1,450.00","1,100.00",,,,,,"5,500.00"
Medical Ed,,,"3,000.00",,,,,,,,,,"3,000.00"
ARIZONA PAIN SOCIETY,,,,"3,000.00",,,"1,000.00",,,,,,"4,000.00"
Conventions,,,,,,,"1,000.00",,,,,,"1,000.00"
Medical Ed,,,,"3,000.00",,,,,,,,,"3,000.00"
ARIZONA PERIANESTHESIA NURSES ASSOCIATON,125.00,,,,,,,,,,,,125.00
Lecture Program,125.00,,,,,,,,,,,,125.00
ARIZONA PHARMACISTS ASSOCIATION,895.00,895.00,"3,500.00",250.00,,,,,,,,,"5,540.00"
Conventions,,,,250.00,,,,,,,,,250.00
ManagedCare FF,895.00,895.00,,,,,,,,,,,"1,790.00"
Medical Ed,,,"3,500.00",,,,,,,,,,"3,500.00"
ARIZONA SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,,,,,300.00,,,750.00,,,,"1,050.00"
Conventions,,,,,,300.00,,,750.00,,,,"1,050.00"
ARIZONA STATE ASSOCIATION FOR PHYSICIAN ASSISTANTS,"1 ,900.00","3,400.00",,,,,,"2,500.00",,,,,"7,800.00"
Conventions,400.00,400.00,,,,,,,,,,,800.00
Lecture Program,"1,500.00",,,,,,,,,,,,"1,500.00"
Medical Ed,,"3,000.00",,,,,,"2,500.00",,,,,"5,500.00"
ARIZONA STATE BOARD OF PHARMACY,,200.00,,"2,093.34","1,000.00","1,000.00",,"1,000.00","2,375.00",,"1,000.00",,"8,668.34"
General Counsel,,,,"2,093.34","1,000.00","1,000.00",,"1,000.00","2,375.00",,"1,000.00",,"8,468.34"
Market Strategies,,200.00,,,,,,,,,,,200.00
ARKANSAS ACADEMY OF FAMILY PHYSICIANS INC,,"1,000.00",,,,,,"1,250.00","1,350.00",,,,"3,600.00"
Conventions,,"1,000.00",,,,,,"1,250.00","1,350.00",,,,"3,600.00"
ARKANSAS ACADEMY OF PHYSICIANS ASSISTANTS,"1 ,500.00",,,,,,,,,,,,"1,500.00"
Lecture Program,"1,500.00",,,,,,,,,,,,"1,500.00"
ARKANSAS ASSOC OF CHIEFS OF POLICE,,,540.00,,,,,,,,,,540.00
LELE,,,540.00,,,,,,,,,,540.00
ARKANSAS ASSOCIATION OF HOSPITAL PHARMACISTS AAHP,,,,,,,,,,750.00,"1,000.00",,"1,750.00"
Conventions,,,,,,,,,,,"1,000.00",,"1,000.00"
Promotions RX,,,,,,,,,,750.00,,,750.00
ARKANSAS ASSOCIATION OF NURSE ANESTHETISTS,300.00,,,,,,,,,,,,300.00
Conventions,300.00,,,,,,,,,,,,300.00
ARKANSAS OSTEOPATHIC MEDICAL ASSOC,"3 ,850.00","6,400.00",575.00,575.00,,"2,150.00",,"3,760.00",,,,6 50.00,"17,960.00"
Conventions,,"1,150.00",575.00,575.00,,"1,150.00",,,,,,6 50.00,"4,100.00"
